動物,どうぶつ,dou butsu,Animal
鼠,ネズミ,nezumi,Mouse / Rat
猫,ねこ,neko,Cat
子猫 / 小猫,こねこ,ko neko,Kitten
犬,いぬ,inu,Dog
子犬 / 小犬,こいぬ,ko inu,Puppy
鶏,ニワトリ,niwatori,Chicken
家鴨,アヒル,ahiru,Domestic Duck
鴨,カモ,kamo,Wild Duck
鳥,とり,tori,Bird
雀,スズメ,suzume,Sparrow
燕,ツバメ,tsubame,Swallow
鳩,ハト,hato,Dove / Pigeon
烏 / 鴉,カラス,karasu,Crow
白鳥,ハクチョウ,hakuchou,Swan
蝙蝠,コウモリ,koumori,Bat
梟,フクロウ,fukurou,Owl
鷲,ワシ,washi,Eagle
鷹,タカ,taka,Falcon / Hawk
鶴,ツル,tsuru,Crane
兎,ウサギ,usagi,Rabbit / Hare
栗鼠,リス,risu,Squirrel
猿,サル,saru,Monkey
牛,ウシ,ushi,Cow / Cattle
馬,ウマ,uma,Horse
縞馬,シマウマ,shimauma,Zebra
羊,ヒツジ,hitsuji,Sheep
山羊,ヤギ,yagi,Goat
鹿,シカ,shika,Deer
豚,ブタ,buta,Pig
猪,イノシシ,inoshishi,Wild Boar
河馬,カバ,kaba,Hippopotamus
,パンダ,panda,Panda
麒麟,キリン,kirin,Giraffe
,カンガルー,kangaru-,Kangaroo
駱駝,ラクダ,rakuda,Camel
狐,キツネ,kitsune,Fox
狸,タヌキ,tanuki,Raccoon Dog
狼,オオカミ,ookami,Wolf
虎,トラ,tora,Tiger
,ライオン,raion,Lion
獅子,しし,shishi,Lion
,チーター,chi-ta-,Cheetah
犀,サイ,sai,Rhinoceros
熊,クマ,kuma,Bear
象,ゾウ,zou,Elephant
蛇,ヘビ,hebi,Snake
鰐,ワニ,wani,Crocodile / Alligator
亀,カメ,kame,Tortoise / Turtle
蛙,カエル,kaeru,Frog
魚,さかな,sakana,Fish
烏賊,イカ,ika,Cuttlefish / Squid
牡蠣,カキ,kaki,Oyster
鮑,アワビ,awabi,Abalone
蝦 / 海老,エビ,ebi,Shrimp / Prawn
蟹,カニ,kani,Crab
蛸 / 章魚,タコ,tako,Octopus
,ペンギン,pengin,Penguin
人鳥,じんちょう,jinchou,Penguin (Rarely used)
海豚,イルカ,iruka,Dolphin
鯨,クジラ,kujira,Whale
鮫,サメ,same,Shark
虫,むし,mushi,Insect
昆虫,こんちゅう,konchuu,Insect / Bug
蟻,アリ,ari,Ant
蚊,カ,ka,Mosquito
蝿,ハエ,hae,Fly
,ゴキブリ,gokiburi,Cockroach
蝸牛,カタツムリ,katatsumuri,Snail
蜘蛛,クモ,kumo,Spider
百足,ムカデ,mukade,Centipede
蛍,ホタル,hotaru,Firefly
蝉,セミ,semi,Cicada
蜻蛉,トンボ,tonbo,Dragonfly
蝶蝶,チョウチョウ,chouchou,Butterfly
蜂,ハチ,hachi,Bee
毛虫,けむし,kemushi,Caterpillar
蚯蚓,ミミズ,mimizu,Earthworm
守宮,ヤモリ,yamori,Gecko / House Lizard
蜥蜴,トカゲ,tokage,Lizard
川獺,かわうそ,kawauso,Otter
